, CC, D, E, I, L, LOC, N, N1, N2, T, V, V*, mu, mu1, mu1', mu2, mu2',AvgShortestPath,Betweenness,Closeness,Eccentricity,FanIn,FanOut,IsIsolated,Katz,Name
44, 49, 120.508, 218886, 0.0394572, 0.00829823, 335, 573, 177, 396, 12160.3, 1816.37, 4.75489, 9, 2, 1, 7, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy_Mat
45, 49, 121.139, 209327, 0.0392517, 0.00825501, 363, 576, 178, 398, 11629.3, 1728, 4.75489, 8, 1, 1, 7, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy_Svec
46, 58, 180.656, 647104, 0.0263201, 0.00553538, 897, 859, 254, 605, 35950.2, 3581.97, 4.75489, 18, 3, 1, 15, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy_Tensor
47, 49, 115.46, 163855, 0.0411821, 0.008661, 282, 549, 170, 379, 9103.03, 1419.14, 4.75489, 6, 0, 1, 6, 1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDestroy_Vecs
48, 178, 221.195, 2.93667e+06, 0.0524859, 0.00452089, 1616, 2568, 694, 1874, 163148, 13276.4, 11.6096, 36, 5, 1, 31, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot
49, 76, 113.957, 802361, 0.101877, 0.00877524, 958, 1323, 365, 958, 44575.6, 7040.91, 11.6096, 40, 5, 1, 35, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotColumn
50, 105, 175.371, 2.05482e+06, 0.0662003, 0.00570218, 1670, 2036, 565, 1471, 114157, 11717, 11.6096, 54, 0, 1, 54, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotColumnBegin
51, 83, 143.846, 1.31148e+06, 0.0807088, 0.00695188, 1855, 1670, 463, 1207, 72860, 9117.25, 11.6096, 44, 0, 1, 44, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotColumnEnd
52, 55, 55.5573, 132603, 0.208967, 0.0179994, 1545, 645, 194, 451, 7366.84, 2386.78, 11.6096, 13, 2, 1, 11, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotColumnInc
53, 114, 87.3285, 2.24102e+06, 0.550859, 0.011451, 1911, 4201, 1321, 2880, 124501, 25661.9, 48.1057, 69, 11, 1, 58, 11,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotQuadrature
54, 73, 98.6249, 461579, 0.117715, 0.0101394, 711, 1145, 297, 848, 25643.3, 4680.14, 11.6096, 17, 1, 1, 16, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec
55, 106, 166.672, 1.71637e+06, 0.0696557, 0.00599981, 1496, 1935, 520, 1415, 95354.2, 10297.9, 11.6096, 40, 3, 1, 37, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVecBegin
56, 70, 98.1081, 456754, 0.118335, 0.0101928, 1395, 1139, 318, 821, 25375.2, 4655.62, 11.6096, 17, 1, 1, 16, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVecEnd
57, 432, 182.864, 5.97854e+06, 0.156013, 0.00546853, 967, 5217, 1597, 3620, 332141, 32693.8, 28.5293, 77, 0, 1, 77, 7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_BLAS_Private
58, 48, 46.7715, 84366.7, 0.248221, 0.0213806, 351, 543, 166, 377, 4687.04, 1803.81, 11.6096, 10, 1, 1, 9, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Begin_Vecs
59, 56, 65.7212, 213014, 0.17665, 0.0152158, 682, 763, 229, 534, 11834.1, 3241.17, 11.6096, 19, 2, 1, 17, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Contiguous
60, 45, 40.5697, 53643.9, 0.286165, 0.0246489, 241, 471, 146, 325, 2980.22, 1322.26, 11.6096, 7, 1, 1, 6, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_End_Vecs
61, 50, 53.3178, 118317, 0.217744, 0.0187555, 515, 619, 187, 432, 6573.17, 2219.09, 11.6096, 12, 0, 1, 12, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Local_Contiguous
62, 52, 59.3472, 159754, 0.195622, 0.01685, 633, 689, 207, 482, 8875.21, 2691.85, 11.6096, 15, 0, 1, 15, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Local_Mat
63, 52, 59.3472, 159754, 0.195622, 0.01685, 597, 689, 207, 482, 8875.21, 2691.85, 11.6096, 15, 0, 1, 15, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Local_Svec
64, 58, 71.7507, 266533, 0.161805, 0.0139371, 780, 833, 249, 584, 14807.4, 3714.71, 11.6096, 22, 2, 1, 20, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Mat
65, 58, 71.7507, 266533, 0.161805, 0.0139371, 772, 833, 249, 584, 14807.4, 3714.71, 11.6096, 22, 2, 1, 20, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Svec
66, 54, 59.175, 158828, 0.196192, 0.016899, 495, 687, 208, 479, 8823.76, 2684.03, 11.6096, 15, 1, 1, 14, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDotVec_Vecs
67, 1054, 367.796, 4.10938e+07, 0.103464, 0.0027189, 1746, 13996, 4240, 9756, 2.28299e+06, 111730, 38.0537, 253, 5, 1, 248, 9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_BLAS_Private
68, 48, 52.198, 123583, 0.222415, 0.0191578, 540, 606, 184, 422, 6865.71, 2367.58, 11.6096, 15, 3, 1, 12, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Contiguous
69, 52, 64.2569, 203627, 0.180675, 0.0155625, 773, 746, 224, 522, 11312.6, 3168.95, 11.6096, 19, 1, 1, 18, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Mat
70, 66, 93.1123, 493900, 0.124684, 0.0107397, 1717, 1081, 330, 751, 27438.9, 5304.35, 11.6096, 30, 5, 1, 25, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Private
71, 52, 64.2569, 210549, 0.180675, 0.0155625, 759, 746, 224, 522, 11697.2, 3276.67, 11.6096, 21, 3, 1, 18, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Svec
72, 54, 69.5973, 243042, 0.166812, 0.0143684, 1083, 808, 238, 570, 13502.3, 3492.12, 11.6096, 20, 1, 1, 19, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Tensor
73, 50, 56.5048, 151510, 0.205463, 0.0176976, 492, 656, 200, 456, 8417.25, 2681.38, 11.6096, 17, 3, 1, 14, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDot_Vecs
74, 56, 98.125, 244173, 0.0815287, 0.0101911, 401, 785, 217, 568, 13565.2, 2488.39, 8, 9, 3, 1, 6, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDuplicate
75, 63, 95.9547, 519287, 0.120991, 0.0104216, 456, 1114, 309, 805, 28849.3, 5411.79, 11.6096, 29, 0, 1, 29, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDuplicateResize
76, 55, 90.625, 227295, 0.0882759, 0.0110345, 49436, 725, 220, 505, 12627.5, 2508.09, 8, 11, 0, 1, 11, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDuplicate_Private
77, 45, 57.375, 61148.3, 0.139434, 0.0174292, 211, 459, 143, 316, 3397.13, 1065.76, 8, 5, 0, 1, 5, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVDuplicate_Vecs
78, 47, 282, 605552, 0.0070922, 0.0035461, 348, 564, 174, 390, 33641.8, 2147.35, 2, 14, 2, 1, 12, 0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVFinalizePackage
79, 51, 51.5951, 48984, 0.225015, 0.0193817, 202, 599, 174, 425, 2721.33, 949.393, 11.6096, 3, 0, 1, 3, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetActiveColumns
80, 53, 85.875, 117992, 0.0931587, 0.0116448, 293, 687, 191, 496, 6555.12, 1374, 8, 4, 0, 1, 4, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArray
81, 53, 85.875, 117992, 0.0931587, 0.0116448, 311, 687, 191, 496, 6555.12, 1374, 8, 4, 0, 1, 4, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArrayRead
82, 44, 53.875, 36803, 0.148492, 0.0185615, 189, 431, 136, 295, 2044.61, 683.119, 8, 3, 0, 1, 3, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArrayRead_Contiguous
83, 45, 57.375, 61148.3, 0.139434, 0.0174292, 235, 459, 143, 316, 3397.13, 1065.76, 8, 5, 0, 1, 5, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArrayRead_Mat
84, 45, 57.375, 61148.3, 0.139434, 0.0174292, 232, 459, 143, 316, 3397.13, 1065.76, 8, 5, 0, 1, 5, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArrayRead_Svec
85, 52, 82.625, 202100, 0.096823, 0.0121029, 538, 661, 200, 461, 11227.8, 2445.99, 8, 13, 0, 1, 13, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArrayRead_Vecs
86, 44, 53.875, 36803, 0.148492, 0.0185615, 179, 431, 136, 295, 2044.61, 683.119, 8, 3, 0, 1, 3, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArray_Contiguous
87, 45, 57.375, 61148.3, 0.139434, 0.0174292, 221, 459, 143, 316, 3397.13, 1065.76, 8, 5, 0, 1, 5, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArray_Mat
88, 45, 57.375, 61148.3, 0.139434, 0.0174292, 218, 459, 143, 316, 3397.13, 1065.76, 8, 5, 0, 1, 5, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArray_Svec
89, 52, 82.625, 202100, 0.096823, 0.0121029, 499, 661, 200, 461, 11227.8, 2445.99, 8, 13, 0, 1, 13, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetArray_Vecs
90, 61, 119.5, 422746, 0.0669456, 0.0083682, 620, 956, 269, 687, 23485.9, 3537.62, 8, 13, 1, 1, 12, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetBufferVec
91, 61, 116.75, 377232, 0.0685225, 0.00856531, 566, 934, 261, 673, 20957.3, 3231.11, 8, 11, 0, 1, 11, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetCachedBV
92, 70, 107.325, 656181, 0.108173, 0.00931753, 1208, 1246, 344, 902, 36454.5, 6113.99, 11.6096, 30, 0, 1, 30, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetColumn
93, 46, 39.7945, 42688.8, 0.29174, 0.0251291, 236, 462, 146, 316, 2371.6, 1072.73, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetColumn_Contiguous
94, 48, 45.9101, 81287.9, 0.252878, 0.0217817, 359, 533, 166, 367, 4515.99, 1770.59, 11.6096, 10, 1, 1, 9, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetColumn_Mat
95, 48, 45.9101, 81287.9, 0.252878, 0.0217817, 356, 533, 166, 367, 4515.99, 1770.59, 11.6096, 10, 1, 1, 9, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetColumn_Svec
96, 46, 39.7945, 42688.8, 0.29174, 0.0251291, 214, 462, 146, 316, 2371.6, 1072.73, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetColumn_Vecs
97, 51, 79.25, 50244.5, 0.100946, 0.0126183, 217, 634, 179, 455, 2791.36, 634, 8, 2, 0, 1, 2, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetDefiniteTolerance
98, 99, 253.375, 2.85279e+06, 0.0315738, 0.00394672, 1389, 2027, 568, 1459, 158488, 11259.2, 8, 47, 5, 1, 42, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetMat
99, 51, 79.25, 50244.5, 0.100946, 0.0126183, 210, 634, 179, 455, 2791.36, 634, 8, 2, 0, 1, 2, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetMatMultMethod
100, 51, 51.5951, 48984, 0.225015, 0.0193817, 220, 599, 174, 425, 2721.33, 949.393, 11.6096, 3, 0, 1, 3, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetMatrix
101, 51, 79.25, 50244.5, 0.100946, 0.0126183, 196, 634, 179, 455, 2791.36, 634, 8, 2, 0, 1, 2, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetNumConstraints
102, 52, 82.75, 127196, 0.0966767, 0.0120846, 288, 662, 186, 476, 7066.47, 1537.12, 8, 5, 1, 1, 4, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetOptionsPrefix
103, 53, 31.6007, 45565.5, 0.621869, 0.0316449, 389, 621, 182, 439, 2531.42, 1441.92, 19.6515, 5, 0, 1, 5, 5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetOrthogonalization
104, 78, 162, 1.00931e+06, 0.0493827, 0.00617284, 745, 1296, 364, 932, 56073, 6230.33, 8, 28, 5, 1, 23, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetRandomContext
105, 72, 154.625, 797586, 0.0517381, 0.00646726, 906, 1237, 338, 899, 44310.3, 5158.2, 8, 18, 0, 1, 18, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetSignature
106, 145, 92.5868, 265909, 0.167516, 0.0108007, 399, 1436, 436, 1000, 14772.7, 2872, 15.5098, 4, 0, 1, 4, 4,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetSizes
107, 57, 66.2381, 142998, 0.175271, 0.0150971, 730, 769, 215, 554, 7944.36, 2158.86, 11.6096, 7, 1, 1, 6, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetSplit
108, 68, 91.4757, 412674, 0.126915, 0.0109319, 1087, 1062, 330, 732, 22926.3, 4511.3, 11.6096, 19, 0, 1, 19, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetSplit_Private
109, 51, 79.25, 50244.5, 0.100946, 0.0126183, 209, 634, 179, 455, 2791.36, 634, 8, 2, 0, 1, 2, 2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVGetType
110, 156, 1114.5, 1.41611e+07, 0.00179453, 0.000897263, 2627, 2229, 658, 1571, 786731, 12706.3, 2, 52, 9, 1, 43, 0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVInitializePackage
111, 157, 195.441, 2.34384e+06, 0.0594023, 0.00511663, 1291, 2269, 639, 1630, 130213, 11992.6, 11.6096, 39, 2, 1, 37, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVInsertConstraints
112, 76, 128.686, 1.09056e+06, 0.0902167, 0.00777084, 1008, 1494, 401, 1093, 60586.9, 8474.6, 11.6096, 51, 9, 1, 42, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVInsertVec
113, 209, 205.328, 5.68183e+06, 0.0957078, 0.00487026, 1944, 4035, 1131, 2904, 315657, 27672, 19.6515, 116, 1, 1, 115, 5,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVInsertVecs
114, 151, 130.953, 3.38499e+06, 0.217859, 0.00763633, 2709, 3736, 1007, 2729, 188055, 25848.9, 28.5293, 121, 15, 1, 106, 7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatArnoldi
115, 413, 452.641, 1.48615e+07, 0.0256487, 0.00220926, 2398, 5255, 1592, 3663, 825639, 32832.9, 11.6096, 76, 5, 1, 71, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatCholInv_LAPACK_Private
116, 110, 87.6992, 1.37508e+06, 0.325309, 0.0114026, 1880, 2502, 680, 1822, 76393.3, 15679.5, 28.5293, 77, 0, 1, 77, 7,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatLanczos
117, 89, 141.262, 1.12545e+06, 0.0821852, 0.00707905, 1505, 1640, 410, 1230, 62524.8, 7967.09, 11.6096, 29, 1, 1, 28, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatMult
118, 82, 135.749, 1.1609e+06, 0.0855227, 0.00736652, 1055, 1576, 423, 1153, 64494.4, 8551.79, 11.6096, 43, 0, 1, 43, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatMultColumn
119, 81, 133.51, 1.00531e+06, 0.0869573, 0.00749009, 1420, 1550, 388, 1162, 55850.6, 7529.87, 11.6096, 29, 1, 1, 28, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatMultHermitianTranspose
120, 82, 135.749, 1.168e+06, 0.0855227, 0.00736652, 1091, 1576, 423, 1153, 64888.6, 8604.06, 11.6096, 44, 1, 1, 43, 3,0.0,0.0,0.0,0,0.0,0.0,0,0.0,BVMatMultHermitianTransposeColumn
