, D, E, I, L, N, N1, N2, T, V, V*, mu, mu1, mu1', mu2, mu2',AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,SelfLoops,Stress,function_name,selected,Failed
16, 42.5922, 208835, 0.461387, 0.0234785, 837, 257, 580, 11602, 4903.13, 19.6515, 58, 7, 1, 51, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateMapping,0,0
17, 25.4961, 33654.6, 0.455351, 0.0392218, 296, 92, 204, 1869.7, 1319.99, 11.6096, 22, 5, 1, 17, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateMappingIS,0,0
18, 10.788, 9536.84, 1.82161, 0.0926957, 212, 65, 147, 529.825, 884.024, 19.6515, 18, 3, 1, 15, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateMemoryScalable,0,0
19, 17.6577, 14142.3, 0.657482, 0.0566324, 205, 64, 141, 785.684, 800.913, 11.6096, 15, 4, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateMemoryScalableIS,0,0
20, 42.875, 271317, 0.559767, 0.0233236, 1029, 324, 705, 15073.2, 6328.09, 24, 71, 0, 1, 71, 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreateMemoryScalable_private,0,0
21, 228.817, 1.55068e+06, 0.0207803, 0.0043703, 1088, 331, 757, 86149.1, 6776.95, 4.75489, 75, 11, 1, 64, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreate_Basic,0,0
22, 152.685, 646572, 0.0311418, 0.00654943, 726, 224, 502, 35920.7, 4234.68, 4.75489, 57, 10, 1, 47, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOCreate_MemoryScalable,0,0
23, 87.2786, 120322, 0.0544794, 0.0114576, 415, 135, 280, 6684.57, 1378.6, 4.75489, 10, 3, 1, 7, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AODestroy,0,0
24, 30.2846, 12242.8, 0.157007, 0.0330201, 144, 45, 99, 680.158, 404.259, 4.75489, 7, 2, 1, 5, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AODestroy_Basic,0,0
25, 31.5465, 13284.3, 0.150726, 0.0316993, 150, 47, 103, 738.018, 421.103, 4.75489, 7, 2, 1, 5, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AODestroy_Mapping,0,0
26, 35.3321, 16663.9, 0.134577, 0.0283029, 168, 53, 115, 925.77, 471.636, 4.75489, 7, 1, 1, 6, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AODestroy_MemoryScalable,0,0
27, 53, 8904.32, 0.0377358, 0.0188679, 106, 35, 71, 494.684, 168.006, 2, 3, 1, 1, 2, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOFinalizePackage,0,0
28, 24, 9216, 0.333333, 0.0416667, 192, 55, 137, 512, 384, 8, 4, 0, 1, 4, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOGetType,0,0
29, 178.5, 284175, 0.0112045, 0.00560224, 357, 112, 245, 15787.5, 1592.02, 2, 22, 8, 1, 14, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOInitializePackage,0,0
30, 91.0394, 850305, 0.170363, 0.0109843, 1412, 446, 966, 47239.2, 9339.97, 15.5098, 98, 7, 1, 91, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOMap_MemoryScalable_private,0,0
31, 19.3804, 13822.8, 0.599039, 0.0515984, 225, 66, 159, 767.932, 713.233, 11.6096, 9, 1, 1, 8, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOMappingHasApplicationIndex,0,0
32, 19.3804, 13081.8, 0.599039, 0.0515984, 225, 66, 159, 726.767, 675, 11.6096, 8, 0, 1, 8, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOMappingHasPetscIndex,0,0
33, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplication,0,0
34, 42.625, 58140.5, 0.187683, 0.0234604, 341, 99, 242, 3230.03, 1364, 8, 16, 5, 1, 11, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplicationIS,0,0
35, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplicationPermuteInt,0,0
36, 15.5044, 9654.53, 0.748799, 0.064498, 180, 57, 123, 536.363, 622.698, 11.6096, 11, 0, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplicationPermuteInt_Basic,0,0
37, 16.6241, 7449.8, 0.698361, 0.0601536, 193, 54, 139, 413.878, 448.132, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplicationPermuteReal,0,0
38, 15.5044, 9654.53, 0.748799, 0.064498, 180, 57, 123, 536.363, 622.698, 11.6096, 11, 0, 1, 11, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplicationPermuteReal_Basic,0,0
39, 8.95807, 2408.25, 1.296, 0.111631, 104, 34, 70, 133.792, 268.836, 11.6096, 6, 0, 1, 6, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplication_Basic,0,0
40, 12.3173, 6517.88, 0.942544, 0.0811863, 143, 47, 96, 362.105, 529.163, 11.6096, 13, 0, 1, 13, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplication_Mapping,0,0
41, 8.95807, 2794.92, 1.296, 0.111631, 104, 32, 72, 155.273, 312, 11.6096, 8, 1, 1, 7, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOPetscToApplication_MemoryScalable,0,0
42, 15.625, 5483.12, 0.512, 0.064, 125, 40, 85, 304.618, 350.919, 8, 7, 2, 1, 5, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AORegister,0,0
43, 89, 31684, 0.0224719, 0.011236, 178, 57, 121, 1760.22, 356, 2, 4, 1, 1, 3, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AORegisterAll,0,0
44, 66.6682, 89775, 0.0713216, 0.0149996, 317, 94, 223, 4987.5, 1346.59, 4.75489, 19, 4, 1, 15, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOSetFromOptions,0,0
45, 20.8447, 18666.6, 0.556958, 0.0479737, 242, 76, 166, 1037.03, 895.506, 11.6096, 13, 1, 1, 12, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOSetIS,0,0
46, 40.875, 50889.6, 0.195719, 0.0244648, 327, 99, 228, 2827.2, 1245.01, 8, 14, 4, 1, 10, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOSetType,0,0
47, 34.125, 30947.5, 0.234432, 0.029304, 273, 78, 195, 1719.31, 906.886, 8, 10, 4, 1, 6, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOView,0,0
48, 13.9539, 5843.4, 0.831998, 0.0716644, 162, 46, 116, 324.633, 418.764, 11.6096, 6, 1, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOViewFromOptions,0,0
49, 30.625, 32428, 0.261224, 0.0326531, 245, 76, 169, 1801.55, 1058.87, 8, 20, 5, 1, 15, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOView_Basic,0,0
50, 26.625, 22156.5, 0.300469, 0.0375587, 213, 67, 146, 1230.91, 832.168, 8, 15, 4, 1, 11, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOView_Mapping,0,0
51, 93.75, 413623, 0.0853333, 0.0106667, 750, 231, 519, 22979.1, 4411.98, 8, 59, 11, 1, 48, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AOView_MemoryScalable,0,0
52, 104.945, 259438, 0.0453085, 0.00952883, 499, 158, 341, 14413.2, 2472.14, 4.75489, 31, 2, 1, 29, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,AdaptiveADMMPenaltyUpdate,0,0
53, 2.25664, 204.167, 6.87295, 0.443136, 35, 11, 24, 11.3426, 90.4737, 15.5098, 6, 0, 1, 6, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,BlockIndicesExpand,0,0
54, 8.5274, 1960.2, 1.36145, 0.117269, 99, 32, 67, 108.9, 229.871, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CDFUtilInverseEstimate,0,0
55, 9.41342, 4356.62, 1.64762, 0.106231, 146, 46, 100, 242.034, 462.809, 15.5098, 9, 1, 1, 8, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,COPYSWAPPY,0,0
56, 7.53611, 6168.92, 3.78569, 0.132695, 215, 67, 148, 342.718, 818.581, 28.5293, 14, 0, 1, 14, 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,COPYSWAPPY2,0,0
57, 1.25, 25, 6.4, 0.8, 10, 3, 7, 1.38889, 20, 8, 4, 2, 1, 2, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CPowF,0,0
58, 11.0253, 3961.85, 1.053, 0.0907003, 128, 40, 88, 220.103, 359.341, 11.6096, 7, 0, 1, 7, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CRApply_Private,0,0
59, 43.9548, 29120.7, 0.108177, 0.0227507, 209, 67, 142, 1617.81, 662.514, 4.75489, 9, 1, 1, 8, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CRDestroy_Private,0,0
60, 50.0538, 47651.2, 0.0949956, 0.0199785, 238, 75, 163, 2647.29, 952, 4.75489, 16, 6, 1, 10, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CRSetup_Private,0,0
61, 12.375, 1225.12, 0.646465, 0.0808081, 99, 31, 68, 68.0625, 99, 8, 2, 0, 1, 2, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicAddPoint,0,0
62, 32.5, 23722.1, 0.246154, 0.0307692, 260, 83, 177, 1317.9, 729.912, 8, 7, 1, 1, 6, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicCreate,0,0
63, 31.3362, 13107.8, 0.151738, 0.031912, 149, 47, 102, 728.211, 418.296, 4.75489, 7, 1, 1, 6, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicCreate_DA,0,0
64, 162.359, 532441, 0.0292862, 0.00615918, 772, 250, 522, 29580.1, 3279.4, 4.75489, 19, 2, 1, 17, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicDestroy,0,0
65, 23.765, 5370.89, 0.200079, 0.0420787, 113, 36, 77, 298.383, 226, 4.75489, 4, 0, 1, 4, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicDestroy_DA,0,0
66, 53, 8904.32, 0.0377358, 0.0188679, 106, 35, 71, 494.684, 168.006, 2, 3, 1, 1, 2, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicFinalizePackage,0,0
67, 44.3754, 31103.9, 0.107151, 0.022535, 211, 67, 144, 1727.99, 700.927, 4.75489, 10, 0, 1, 10, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicGetValuesBegin,0,0
68, 34.7011, 14800.7, 0.137024, 0.0288175, 165, 52, 113, 822.26, 426.519, 4.75489, 6, 0, 1, 6, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicGetValuesEnd,0,0
69, 24.5486, 25889.5, 0.472925, 0.0407356, 285, 87, 198, 1438.31, 1054.63, 11.6096, 13, 1, 1, 12, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicHeapSort,0,0
70, 282.5, 783201, 0.00707965, 0.00353982, 565, 176, 389, 43511.2, 2772.39, 2, 30, 8, 1, 22, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicInitializePackage,0,0
71, 15.625, 5048.75, 0.512, 0.064, 125, 40, 85, 280.486, 323.12, 8, 6, 1, 1, 5, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicRegister,0,0
72, 77.5, 19039.4, 0.0258065, 0.0129032, 155, 50, 105, 1057.74, 245.669, 2, 3, 1, 1, 2, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicRegisterAll,0,0
73, 129.341, 404680, 0.0367625, 0.00773152, 615, 194, 421, 22482.2, 3128.79, 4.75489, 34, 5, 1, 29, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSendCoordinatesBegin,0,0
74, 27.13, 8126.21, 0.175263, 0.0368596, 129, 41, 88, 451.456, 299.529, 4.75489, 5, 0, 1, 5, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSendCoordinatesEnd,0,0
75, 3.54022, 1003.8, 8.05864, 0.282469, 101, 31, 70, 55.7668, 283.543, 28.5293, 7, 0, 1, 7, 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetFieldInterpolation,0,0
76, 3.54022, 1003.8, 8.05864, 0.282469, 101, 31, 70, 55.7668, 283.543, 28.5293, 7, 0, 1, 7, 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetFieldInterpolationLocal,0,0
77, 13.0926, 5586.83, 0.886735, 0.0763792, 152, 47, 105, 310.38, 426.718, 11.6096, 7, 0, 1, 7, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetNeighbors,0,0
78, 45.5, 59374.1, 0.175824, 0.021978, 364, 108, 256, 3298.56, 1304.93, 8, 12, 2, 1, 10, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetType,0,0
79, 68.1404, 61979.4, 0.0697807, 0.0146756, 324, 97, 227, 3443.3, 909.583, 4.75489, 7, 1, 1, 6, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetUp,0,0
80, 79.4971, 141248, 0.0598121, 0.0125791, 378, 110, 268, 7847.1, 1776.77, 4.75489, 26, 4, 1, 22, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetUp_DA,0,0
81, 3.16081, 995.657, 10.5097, 0.316374, 105, 32, 73, 55.3143, 315, 33.2193, 8, 0, 1, 8, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetVelocityInterpolation,0,0
82, 3.16081, 995.657, 10.5097, 0.316374, 105, 32, 73, 55.3143, 315, 33.2193, 8, 0, 1, 8, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSetVelocityInterpolationLocal,0,0
83, 9.54237, 3964.74, 1.62536, 0.104796, 148, 48, 100, 220.264, 415.489, 15.5098, 7, 0, 1, 7, 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSiftDown,0,0
84, 274.858, 6.3232e+06, 0.0422387, 0.00363825, 3191, 936, 2255, 351289, 23005.4, 11.6096, 148, 20, 1, 128, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicSolve,0,0
85, 42.25, 58371, 0.189349, 0.0236686, 338, 97, 241, 3242.83, 1381.56, 8, 17, 5, 1, 12, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicView,0,0
86, 22.25, 14655.6, 0.359551, 0.0449438, 178, 55, 123, 814.2, 658.678, 8, 13, 3, 1, 10, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CharacteristicView_DA,0,0
87, 10.3554, 17969.5, 3.20791, 0.0965677, 344, 119, 225, 998.305, 1735.27, 33.2193, 33, 0, 1, 33, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CircleInflate,0,0
88, 5.77107, 897.8, 2.0117, 0.173278, 67, 21, 46, 49.8778, 155.569, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Compare_PetscFormKey_Private,0,0
89, 1.63657, 72.2, 7.09388, 0.611034, 19, 6, 13, 4.01111, 44.1166, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Compare_PetscInt_Private,0,0
90, 1.63657, 72.2, 7.09388, 0.611034, 19, 6, 13, 4.01111, 44.1166, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Compare_PetscMPIInt_Private,0,0
91, 1.63657, 72.2, 7.09388, 0.611034, 19, 6, 13, 4.01111, 44.1166, 11.6096, 5, 0, 1, 5, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Compare_PetscReal_Private,0,0
92, 55.7321, 57700.9, 0.0853168, 0.017943, 265, 86, 179, 3205.61, 1035.33, 4.75489, 15, 3, 1, 12, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ComputeDamping,0,0
93, 25.0654, 29814.1, 0.463174, 0.0398957, 291, 94, 197, 1656.34, 1189.45, 11.6096, 17, 0, 1, 17, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ComputePseudoGrad_OWLQN,0,0
94, 1.43712, 186.778, 19.8518, 0.695837, 41, 12, 29, 10.3765, 129.967, 28.5293, 9, 0, 1, 9, 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CoordinatesRealToRef,0,0
95, 1.43712, 186.778, 19.8518, 0.695837, 41, 12, 29, 10.3765, 129.967, 28.5293, 9, 0, 1, 9, 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CoordinatesRefToReal,0,0
96, 23.8595, 28074.9, 0.486584, 0.0419121, 277, 88, 189, 1559.72, 1176.68, 11.6096, 19, 6, 1, 13, 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CreateCR_Private,0,0
97, 47.4855, 595711, 0.801377, 0.0210591, 1807, 550, 1257, 33095.1, 12545.1, 38.0537, 123, 22, 1, 101, 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,DMAdaptInterpolator,0,0
98, 7.32769, 3344.87, 2.68181, 0.136469, 144, 41, 103, 185.826, 456.469, 19.6515, 9, 1, 1, 8, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,DMAdaptorAdapt,0,0
99, 173.015, 4.70931e+06, 0.113583, 0.00577985, 3400, 1060, 2340, 261629, 27219.1, 19.6515, 257, 64, 1, 193, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,DMAdaptorAdapt_Sequence_Private,0,0
100, 52.8713, 350202, 0.371685, 0.0189138, 1039, 318, 721, 19455.7, 6623.67, 19.6515, 83, 13, 1, 70, 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,DMAdaptorComputeErrorIndicator_Private,0,0
101, 51.875, 93043, 0.154217, 0.0192771, 415, 137, 278, 5169.06, 1793.6, 8, 20, 5, 1, 15, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,DMAdaptorCreate,0,0
